Year,Week,Unique id,State,Area,Disease,No of cases,No of deaths,Date of start,Date of reporting
2025,21,MH/RAI/2025/21/903,Maharashtra,Raigad,Hepatitis,38,0,20-05-2025,20-05-2025
2025,21,MH/JAL/2025/21/914,Maharashtra,Jalgaon,Dengue,22,0,23-04-2025,23-04-2025
2025,22,MH/THA/2025/22/958,Maharashtra,Thane,Dengue,6,0,20-05-2025,20-05-2025
2025,23,MH/BHA/2025/23/ Ma,Maharashtra,Bhandara,Food,74,0,07-06-2025,07-06-2025
2025,23,MH/CHA/2025/23/ Ma,Maharashtra,Chandrapur,Malaria,5,1,08-06-2025,07-06-2025
2025,23,MH/DHA/2025/23/ Ma,Maharashtra,Dharashiv,Fever,21,0,05-06-2025,06-06-2025
2025,24,MH/AMR/2025/24/1 M,Maharashtra,Amravati,Malaria,27,0,11-06-2025,12-06-2025
2025,24,MH/GAD/2025/24/1 M,Maharashtra,Gadchiroli,Malaria,3,1,10-06-2025,12-06-2025
2025,24,MH/KOL/2025/24/10,Maharashtra,Kolhapur,Dengue,6,1,10-06-2025,12-06-2025
2025,24,MH/NAG/2025/24/1 M,Maharashtra,Nagpur,Suspected,73,0,13-06-2025,13-06-2025
2025,24,MH/NAG/2025/24/1 M,Maharashtra,Nagpur,Acute,31,0,09-06-2025,10-06-2025
2025,24,MH/RAI/2025/24/10,Maharashtra,Raigad,Dengue,8,1,12-06-2025,13-06-2025
2025,26,MH/AKO/2025/26/1 M,Maharashtra,Akola,Acute,15,0,26-06-2025,26-06-2025
2025,26,MH/CHA/2025/26/1 M,Maharashtra,Chandrapur,Scrub,9,1,24-06-2025,24-06-2025
2025,26,MH/DHA/2025/26/1 M,Maharashtra,Dharashiv,Malaria,24,0,28-06-2025,29-06-2025
2025,26,MH/DHU/2025/26/1 M,Maharashtra,Dhule,Malaria,7,0,24-06-2025,24-06-2025
2025,26,MH/DHU/2025/26/1 M,Maharashtra,Dhule,Cholera,12,0,25-06-2025,25-06-2025
2025,26,MH/GAD/2025/26/1 M,Maharashtra,Gadchiroli,Malaria,4,1,21-06-2025,24-06-2025
2025,26,MH/PUN/2025/26/11,Maharashtra,Pune,Acute,5,0,21-06-2025,27-06-2025
2025,27,MH/DHA/2025/27/120,Maharashtra,Dharashiv,Suspected,19,0,04-07-2025,05-07-2025
2025,27,MH/GAD/2025/27/120,Maharashtra,Gadchiroli,Complicate,2,2,04-07-2025,05-07-2025
2025,27,MH/GAD/2025/27/120,Maharashtra,Gadchiroli,Mixed,9,1,28-06-2025,01-07-2025
2025,27,MH/NAN/2025/27/120,Maharashtra,Nanded,Acute,27,0,30-06-2025,30-06-2025
2024,1,MH/GAD/2024/01/15,Maharashtra,Gadchiroli,Malaria,191,1,04-01-2024,04-01-2024
2024,1,MH/GAD/2024/01/16,Maharashtra,Gadchiroli,Malaria,385,1,27-12-2023,01-01-2024
2024,1,MH/GOD/2024/01/17,Maharashtra,Gondia,Malaria,28,0,29-12-2023,01-01-2024
2024,1,MH/KOP/2024/01/18,Maharashtra,Kolhapur,Hepatitis-A,9,0,05-01-2024,05-01-2024
2024,1,MH/KOP/2024/01/19,Maharashtra,Kolhapur,Food Poisoning,106,0,03-01-2024,03-01-2024
2024,1,MH/NAG/2024/01/20,Maharashtra,Nagpur,Scrub Typhus,9,1,02-01-2024,04-01-2024
2024,1,MH/PLR/2024/01/21,Maharashtra,Palghar,Chikungunya,9,0,07-01-2024,07-01-2024
2024,2,MH/KOP/2024/02/45,Maharashtra,Kolhapur,Hepatitis,42,0,12-01-2024,12-01-2024
2024,3,MH/THN/2024/03/056,Maharashtra,Thane,Dengue,5,1,11-01-2024,15-01-2024
2024,3,MH/BNR/2024/03/081,Maharashtra,Bhandara,Diarrheal,29,0,09-01-2024,09-01-2024
2024,3,MH/THN/2024/03/082,Maharashtra,Thane,Dengue,13,0,29-12-2023,29-12-2023
2024,4,MH/BUL/2024/04/098,Maharashtra,Buldhana,Mumps,5,0,25-01-2024,25-01-2024
2024,4,MH/PLR/2024/04/099,Maharashtra,Palghar,Dengue,16,0,24-01-2024,24-01-2024
2024,5,MH/KOP/2024/05/135,Maharashtra,Kolhapur,Food Poisoning,101,0,04-02-2024,05-02-2024
2024,5,MH/THN/2024/05/136,Maharashtra,Thane,Diarrheal,110,0,31-01-2024,31-01-2024
2024,6,MH/NAN/2024/06/183,Maharashtra,Nanded,Diarrheal,1000,0,07-02-2024,07-02-2024
2024,6,MH/OSM/2024/06/184,Maharashtra,Osmanabad,Dengue,9,0,07-02-2024,07-02-2024
2024,6,MH/OSM/2024/06/185,Maharashtra,Osmanabad,Diarrheal,27,0,07-02-2024,07-02-2024
2024,6,MH/PRB/2024/06/186,Maharashtra,Parbhani,Food Poisoning,19,0,07-02-2024,10-02-2024
2024,6,MH/PRB/2024/06/187,Maharashtra,Parbhani,Food Poisoning,629,0,08-02-2024,10-02-2024
2024,6,MH/PRB/2024/06/188,Maharashtra,Parbhani,Food Poisoning,335,0,09-02-2024,10-02-2024
2024,7,MH/OSM/2024/07/226,Maharashtra,Osmanabad,Malaria,9,0,15-02-2024,15-02-2024
2024,7,MH/RGD/2024/07/227,Maharashtra,Raigad,Dengue,6,1,14-02-2024,18-02-2024
2024,7,MH/THN/2024/07/228,Maharashtra,Thane,Malaria,5,1,08-02-2024,14-02-2024
2024,8,MH/BUL/2024/08/262,Maharashtra,Buldhana,Food Poisoning,208,0,21-02-2024,23-02-2024
2024,8,MH/NDB/2024/08/263,Maharashtra,Nandurbar,Diarrheal,193,0,21-02-2024,23-02-2024
2024,8,MH/YVT/2024/08/264,Maharashtra,Yavatmal,Food Poisoning,68,0,21-02-2024,21-02-2024
2024,9,MH/AMN/2024/09/326,Maharashtra,Ahmednagar,Diarrheal,122,0,29-02-2024,29-02-2024
2024,9,MH/AKL/2024/09/327,Maharashtra,Akola,Diarrheal,10,0,27-02-2024,28-02-2024
2024,9,MH/PLR/2024/09/328,Maharashtra,Palghar,Diarrheal,15,0,01-03-2024,01-03-2024
2024,10,MH/DHL/2024/10/360,Maharashtra,Dhule,Food Poisoning,25,0,10-03-2024,10-03-2024
2024,10,MH/HIN/2024/10/361,Maharashtra,Hingoli,Diarrheal,21,0,08-03-2024,10-03-2024
2024,10,MH/KOP/2024/10/362,Maharashtra,Kolhapur,Hepatitis,22,0,04-03-2024,05-03-2024
2024,10,MH/LTR/2024/10/363,Maharashtra,Latur,Food Poisoning,48,0,09-03-2024,11-03-2024
2024,10,MH/NDB/2024/10/364,Maharashtra,Nandurbar,Diarrheal,18,0,09-03-2024,09-03-2024
2024,10,MH/NDB/2024/10/365,Maharashtra,Nandurbar,Diarrheal,76,0,08-03-2024,08-03-2024
2024,10,MH/SIN/2024/10/366,Maharashtra,Sindhudurg,Diarrheal,146,0,08-03-2024,08-03-2024
2024,11,MH/AMR/2024/11/426,Maharashtra,Amravati,Malaria,64,0,12-03-2024,13-03-2024
2024,11,MH/DHL/2024/11/427,Maharashtra,Dhule,Diarrheal,118,0,14-03-2024,15-03-2024
2024,11,MH/GAD/2024/11/428,Maharashtra,Gadchiroli,Malaria,34,1,13-03-2024,13-03-2024
2024,11,MH/GAD/2024/11/429,Maharashtra,Gadchiroli,Malaria,249,1,09-03-2024,11-03-2024
2024,11,MH/JLN/2024/11/430,Maharashtra,Jalna,Diarrheal,33,0,09-03-2024,12-03-2024
2024,11,MH/KOP/2024/11/431,Maharashtra,Kolhapur,Diarrheal,41,0,14-03-2024,14-03-2024
2024,11,MH/LTR/2024/11/432,Maharashtra,Latur,Dengue,5,0,15-03-2024,15-03-2024
2024,11,MH/NGP/2024/11/433,Maharashtra,Nagpur,Diarrheal,22,0,10-03-2024,11-03-2024
2024,11,MH/NGP/2024/11/434,Maharashtra,Nagpur,Diarrheal,13,0,10-03-2024,11-03-2024
2024,11,MH/OSM/2024/11/435,Maharashtra,Osmanabad,Chikungunya,10,0,16-03-2024,16-03-2024
2024,11,MH/OSM/2024/11/436,Maharashtra,Osmanabad,Food Poisoning,7,0,14-03-2024,14-03-2024
2024,12,MH/AKL/2024/12/492,Maharashtra,Akola,Dengue,26,0,23-03-2024,23-03-2024
2024,12,MH/AMR/2024/12/493,Maharashtra,Amravati,Dengue,64,0,20-03-2024,20-03-2024
2024,12,MH/OSM/2024/12/494,Maharashtra,Osmanabad,Dengue,6,1,22-03-2024,23-03-2024
2024,12,MH/OSM/2024/12/495,Maharashtra,Osmanabad,Food Poisoning,15,0,20-03-2024,21-03-2024
2024,13,MH/AKL/2024/12/539,Maharashtra,Akola,Hepatitis,96,0,29-03-2024,29-03-2024
2024,13,MH/PNE/2024/12/551,Maharashtra,Pune,Chikungunya,9,0,23-03-2024,30-03-2024
2024,14,MH/RGD/2024/14/582,Maharashtra,Raigad,Dengue,5,1,03-04-2024,05-04-2024
2024,15,MH/CND/2024/15/635,Maharashtra,Chandrapur,Food Poisoning,258,1,15-04-2024,15-04-2024
2024,15,MH/CND/2024/15/636,Maharashtra,Chandrapur,Malaria,25,0,12-04-2024,12-04-2024
2024,15,MH/JLN/2024/15/637,Maharashtra,Jalna,Diarrheal,25,0,06-04-2024,09-04-2024
2024,15,MH/KOP/2024/15/638,Maharashtra,Kolhapur,Chikungunya,6,0,12-04-2024,12-04-2024
2024,15,MH/OSM/2024/15/639,Maharashtra,Osmanabad,Food Poisoning,22,0,05-04-2024,06-04-2024
2024,15,MH/PNE/2024/15/640,Maharashtra,Pune,Diarrheal,24,0,28-03-2024,12-04-2024
2024,15,MH/STA/2024/15/641,Maharashtra,Satara,Diarrheal,68,0,09-04-2024,10-04-2024
2024,15,MH/WDH/2024/15/642,Maharashtra,Wardha,Dengue,36,1,08-04-2024,10-04-2024
2024,15,MH/STA/2024/15/656,Maharashtra,Satara,Dengue,5,0,03-04-2024,11-04-2024
2024,16,MH/AMN/2024/16/691,Maharashtra,Ahmednagar,Scrub Typhus,14,0,15-04-2024,15-04-2024
2024,16,MH/BNR/2024/16/693,Maharashtra,Bhandara,Diarrheal,39,0,18-04-2024,18-04-2024
2024,16,MH/KOP/2024/16/694,Maharashtra,Kolhapur,Hepatitis,12,0,16-04-2024,16-04-2024
2024,16,MH/KOP/2024/16/695,Maharashtra,Kolhapur,Hepatitis,48,0,16-04-2024,16-04-2024
2024,16,MH/PNE/2024/16/696,Maharashtra,Pune,Food Poisoning,59,0,21-04-2024,22-04-2024
2024,16,MH/RGD/2024/16/697,Maharashtra,Raigad,Hepatitis,11,1,19-04-2024,20-04-2024
2024,17,MH/CND/2024/17/664,Maharashtra,Chandrapur,Dengue,6,0,23-04-2024,23-04-2024
2024,17,MH/KOP/2024/17/765,Maharashtra,Kolhapur,Food Poisoning,34,0,29-04-2024,29-04-2024
2024,17,MH/NGP/2024/17/766,Maharashtra,Nagpur,Scrub Typhus,12,1,21-04-2024,22-04-2024
2024,17,MH/NDD/2024/17/767,Maharashtra,Nanded,Dengue,6,0,25-04-2024,26-04-2024
2024,17,MH/RGD/2024/17/768,Maharashtra,Raigad,Dengue,8,0,19-04-2024,23-04-2024
2024,17,MH/WAS/2024/17/769,Maharashtra,Washim,Dengue,11,0,24-04-2024,24-04-2024
2024,17,MH/YVT/2024/17/793,Maharashtra,Yavatmal,Dengue,14,0,13-04-2024,14-04-2024
2024,18,MH/AKL/2024/18/836,Maharashtra,Akola,Dengue,22,0,03-05-2024,03-05-2024
2024,18,MH/CND/2024/18/837,Maharashtra,Chandrapur,Leptospirosis,7,1,02-05-2024,02-05-2024
2024,18,MH/KOP/2024/18/838,Maharashtra,Kolhapur,Acute,24,0,02-05-2024,02-05-2024
2024,18,MH/PRB/2024/18/839,Maharashtra,Parbhani,Chikungunya,11,0,01-05-2024,03-05-2024
2024,18,MH/PNE/2024/18/840,Maharashtra,Pune,Diarrheal,20,0,29-04-2024,03-05-2024
2024,18,MH/STA/2024/18/841,Maharashtra,Satara,Dengue,10,0,03-05-2024,03-05-2024
2024,18,MH/THN/2024/18/842,Maharashtra,Thane,Diarrheal,53,0,03-05-2024,03-05-2024
2024,19,MH/AMN/2024/19/891,Maharashtra,Ahmednagar,Chikungunya,11,0,09-05-2024,09-05-2024
2024,19,MH/WDH/2024/19/904,Maharashtra,Wardha,Dengue,9,0,27-04-2024,28-04-2024
2024,20,MH/KOP/2024/20/955,Maharashtra,Kolhapur,Diarrheal,103,0,18-05-2024,18-05-2024
2024,20,MH/NAN/2024/20/956,Maharashtra,Nanded,Dengue,7,0,16-05-2024,17-05-2024
2024,20,MH/NAN/2024/20/957,Maharashtra,Nanded,Food Poisoning,30,0,17-05-2024,17-05-2024
2024,20,MH/RGD/2024/20/958,Maharashtra,Raigad,Dengue,24,0,17-05-2024,18-05-2024
2024,20,MH/STA/2024/20/959,Maharashtra,Satara,Dengue,16,0,17-05-2024,17-05-2024
2024,20,MH/WAS/2024/20/960,Maharashtra,Washim,Dengue,6,0,16-05-2024,16-05-2024
2024,20,MH/MMB/2024/20/974,Maharashtra,Mumbai,Poisoning,17,1,08-05-2024,09-05-2024
2024,21,MH/AKL/2024/21/101,Maharashtra,Akola,Cholera,65,0,26-04-2024,26-05-2024
2024,21,MH/JGA/2024/21/101,Maharashtra,Jalgaon,Cholera,89,0,21-05-2024,24-05-2024
2024,21,MH/NAG/2024/21/101,Maharashtra,Nagpur,Dengue,16,1,22-05-2024,22-05-2024
2024,21,MH/SIN/2024/21/101,Maharashtra,Sindhudurg,Diarrheal,23,0,19-05-2024,20-05-2024
2024,21,MH/YVT/2024/21/101,Maharashtra,Yavatmal,Food Poisoning,18,0,23-05-2024,24-05-2024
2024,21,MH/KOP/2024/21/103,Maharashtra,Kolhapur,Chikungunya,18,0,03-05-2024,04-05-2024
2024,22,MH/GAD/2024/22/108,Maharashtra,Gadchiroli,Dengue,48,0,25-01-2024,27-05-2024
2024,22,MH/NAN/2024/22/108,Maharashtra,Nanded,Dengue,12,0,28-05-2024,29-05-2024
2024,22,MH/PNE/2024/22/108,Maharashtra,Pune,Dengue,7,0,25-05-2024,29-05-2024
2024,22,MH/PNE/2024/22/109,Maharashtra,Pune,Cholera,5,0,20-05-2024,28-05-2024
2024,23,MH/GAD/2024/23/113,Maharashtra,Gadchiroli,Malaria,8,1,06-06-2024,07-06-2024
2024,23,MH/KOP/2024/23/114,Maharashtra,Kolhapur,Zika Virus,1,0,03-06-2024,03-06-2024
2024,23,MH/NAG/2024/23/114,Maharashtra,Nagpur,Cholera,5,0,04-06-2024,07-06-2024
2024,23,MH/THN/2024/23/114,Maharashtra,Thane,Dengue,24,0,06-06-2024,07-06-2024
2024,24,MH/BNR/2024/24/121,Maharashtra,Bhandara,Food Poisoning,3,1,14-06-2024,14-06-2024
2024,24,MH/GAG/2024/24/121,Maharashtra,Gadchiroli,Malaria,5,1,08-06-2024,12-06-2024
2024,24,MH/NAG/2024/24/121,Maharashtra,Nagpur,Chikungunya,40,0,10-06-2024,11-06-2024
2024,24,MH/NAN/2024/24/121,Maharashtra,Nanded,Dengue,13,0,07-06-2024,13-06-2024
2024,24,MH/PLR/2024/24/121,Maharashtra,Palghar,Chikungunya,6,0,14-06-2024,15-06-2024
2024,24,MH/PNE/2024/24/121,Maharashtra,Pune,Cholera,81,0,11-06-2024,13-06-2024
2024,24,MH/SGL/2024/24/122,Maharashtra,Sangli,Dengue,8,1,12-06-2024,11-06-2024
2024,24,MH/SGL/2024/24/122,Maharashtra,Sangli,Food Poisoning,20,0,13-06-2024,12-06-2024
2024,24,MH/STA/2024/24/122,Maharashtra,Satara,Diarrheal,106,0,10-06-2024,11-06-2024
2024,25,MH/JGA/2024/25/128,Maharashtra,Jalgaon,Diarrheal,115,0,18-06-2024,19-06-2024
2024,25,MH/KOP/2024/25/128,Maharashtra,Kolhapur,Dengue,24,0,22-06-2024,23-06-2024
2024,25,MH/KOP/2024/25/128,Maharashtra,Kolhapur,Hepatitis,35,0,20-06-2024,20-06-2024
2024,25,MH/OSM/2024/25/128,Maharashtra,Osmanabad,Dengue,14,0,19-06-2024,20-06-2024
2024,26,MH/GOD/2024/26/133,Maharashtra,Gondia,Diarrheal,6,1,27-06-2024,27-06-2024
2024,26,MH/GOD/2024/26/133,Maharashtra,Gondia,Pertussis,9,0,24-06-2024,24-06-2024
2024,26,MH/JLN/2024/26/133,Maharashtra,Jalna,Diarrheal,23,0,24-06-2024,26-06-2024
2024,26,MH/KOP/2024/26/133,Maharashtra,Kolhapur,Chikungunya,7,0,29-06-2024,29-06-2024
2024,26,MH/KOP/2024/26/133,Maharashtra,Kolhapur,Cholera,7,0,28-06-2024,28-06-2024
2024,26,MH/KOP/2024/26/134,Maharashtra,Kolhapur,Dengue,1,1,25-06-2024,25-06-2024
2024,26,MH/NAN/2024/26/134,Maharashtra,Nanded,Diarrheal,30,0,27-06-2024,27-06-2024
2024,26,MH/PNE/2024/26/134,Maharashtra,Pune,Zika Virus,8,0,24-06-2024,27-06-2024
2024,26,MH/PNE/2024/26/134,Maharashtra,Pune,Dengue,5,0,19-06-2024,25-06-2024
2024,26,MH/PNE/2024/26/134,Maharashtra,Pune,Chikungunya,12,0,19-06-2024,25-06-2024
2024,26,MH/RGD/2024/26/134,Maharashtra,Raigad,Dengue,2,1,24-06-2024,25-06-2024
2024,26,MH/SGL/2024/26/134,Maharashtra,Sangli,Cholera,50,0,29-06-2024,29-06-2024
2024,26,MH/STA/2024/26/134,Maharashtra,Satara,Dengue,7,0,25-06-2024,28-06-2024
2024,26,MH/WAD/2024/26/134,Maharashtra,Washim,Cholera,25,0,23-06-2024,24-06-2024
2024,26,MH/YVT/2024/26/134,Maharashtra,Yavatmal,Dengue,40,0,29-06-2024,29-06-2024
2024,26,MH/NAS/2024/26/137,Maharashtra,Nashik,Dengue,5,1,13-06-2024,14-06-2024
2024,26,MH/PNE/2024/26/137,Maharashtra,Pune,Typhoid,14,0,14-06-2024,15-06-2024
2024,26,MH/RGD/2024/26/137,Maharashtra,Raigad,Dengue,84,0,16-06-2024,17-06-2024
2024,27,MH/AKL/2024/27/142,Maharashtra,Akola,Cholera,18,0,03-07-2024,03-07-2024
2024,27,MH/CND/2024/27/142,Maharashtra,Chandrapur,Dengue,24,0,04-07-2024,05-07-2024
2024,27,MH/GAD/2024/27/142,Maharashtra,Gadchiroli,Food Poisoning,28,0,04-07-2024,05-07-2024
2024,27,MH/PNE/2024/27/142,Maharashtra,Pune,Zika Virus,8,0,25-06-2024,03-07-2024
2024,27,MH/RIG/2024/27/142,Maharashtra,Raigad,Dengue,13,0,26-06-2024,02-07-2024
2024,29,MH/AHM/2024/29/160,Maharashtra,Ahmednagar,Zika Virus,3,0,17-07-2024,18-07-2024
2024,29,MH/AKL/2024/29/160,Maharashtra,Akola,Diarrheal,23,0,19-07-2024,19-07-2024
2024,29,MH/AMV/2024/29/160,Maharashtra,Amravati,Diarrheal,89,1,16-07-2024,16-07-2024
2024,29,MH/AMV/2024/29/160,Maharashtra,Amravati,Diarrheal,70,0,15-07-2024,15-07-2024
2024,29,MH/CDP/2024/29/160,Maharashtra,Chandrapur,Malaria,30,1,18-07-2024,19-07-2024
2024,29,MH/DHL/2024/29/160,Maharashtra,Dhule,Diarrheal,22,0,19-07-2024,20-07-2024
2024,29,MH/KOP/2024/29/161,Maharashtra,Kolhapur,Dysentery,98,0,20-07-2024,20-07-2024
2024,29,MH/PRB/2024/29/161,Maharashtra,Parbhani,Diarrheal,79,0,11-07-2024,15-07-2024
2024,29,MH/PNE/2024/29/161,Maharashtra,Pune,Zika Virus,11,0,08-07-2024,16-07-2024
2024,29,MH/PNE/2024/29/161,Maharashtra,Pune,Zika Virus,1,0,13-07-2024,15-07-2024
2024,29,MH/STR/2024/29/161,Maharashtra,Satara,Dengue,17,0,16-07-2024,19-07-2024
2024,30,MH/AMN/2024/30/172,Maharashtra,Ahmednagar,Cholera,6,0,25-07-2024,26-07-2024
2024,30,MH/AVT/2024/30/172,Maharashtra,Amravati,Diarrheal,47,0,22-07-2024,25-07-2024
2024,30,MH/GDC/2024/30/172,Maharashtra,Gadchiroli,Malaria,6,1,26-07-2024,26-07-2024
2024,30,MH/GDC/2024/30/172,Maharashtra,Gadchiroli,Malaria,2,1,26-07-2024,26-07-2024
2024,30,MH/GDC/2024/30/172,Maharashtra,Gadchiroli,Malaria,4,1,22-07-2024,22-07-2024
2024,30,MH/JLG/2024/30/172,Maharashtra,Jalgaon,Cholera,13,3,22-07-2024,26-07-2024
2024,30,MH/NSK/2024/30/172,Maharashtra,Nashik,Dengue,3,1,14-07-2024,23-07-2024
2024,30,MH/NSK/2024/30/173,Maharashtra,Nashik,Dengue,1,1,08-07-2024,23-07-2024
2024,30,MH/NSK/2024/30/173,Maharashtra,Nashik,Diarrheal,79,0,16-07-2024,23-07-2024
2024,30,MH/YVT/2024/30/173,Maharashtra,Yavatmal,Cholera,8,0,19-07-2024,22-07-2024
2024,31,MH/AMR/2024/31/181,Maharashtra,Amravati,Diarrheal,25,0,27-07-2024,29-07-2024
2024,31,MH/CDP/2024/31/181,Maharashtra,Chandrapur,Malaria,2,1,30-07-2024,01-08-2024
2024,31,MH/DHL/2024/31/181,Maharashtra,Dhule,Dengue,15,0,29-07-2024,29-07-2024
2024,31,MH/DHL/2024/31/181,Maharashtra,Dhule,Dengue,22,0,29-07-2024,29-07-2024
2024,31,MH/NGP/2024/31/182,Maharashtra,Nagpur,Dengue,17,0,29-07-2024,30-07-2024
2024,31,MH/PRB/2024/31/182,Maharashtra,Parbhani,Chikungunya,23,0,30-07-2024,31-07-2024
2024,31,MH/PUN/2024/31/182,Maharashtra,Pune,Zika Virus,1,0,30-07-2024,02-08-2024
2024,31,MH/SAT/2024/31/182,Maharashtra,Satara,Diarrheal,16,1,28-07-2024,29-07-2024
2024,31,MH/SLP/2024/31/182,Maharashtra,Solapur,Zika Virus,1,0,27-07-2024,29-07-2024
2024,31,MH/WSM/2024/31/182,Maharashtra,Washim,Chikungunya,19,0,30-07-2024,30-07-2024
2024,31,MH/PUN/2024/31/185,Maharashtra,Pune,Zika,9,0,19-07-2024,31-07-2024
2024,31,MH/PUN/2024/31/185,Maharashtra,Pune,Zika,5,0,13-07-2024,01-08-2024
2024,31,MH/PUN/2024/31/185,Maharashtra,Pune,Zika,7,0,20-07-2024,02-08-2024
